School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Lars Ostermann,So.,,,,International,"Untersiggenthal, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Goalkeeper
Saint Leo,Sunshine State,Viktor Danielsson,So.,,,,International,"Uppsala, Sweden",Sweden,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Defender
Saint Leo,Sunshine State,Derek Isajar,Jr.,,,,USA,"Tampa, FL",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2027,Defender
Saint Leo,Sunshine State,Javier Haro,Gr.,,,,International,"Castellon de la Plana, Spain",Spain,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2025,Midfielder
Saint Leo,Sunshine State,Antoine Joblet,Sr.,,,,International,"Les Abymes, Guadeloupe",Guadeloupe,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2026,Defender
Saint Leo,Sunshine State,Jaykob Garbia,So.,,,,International,"Hellerup, Denmark",Denmark,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Defender
Saint Leo,Sunshine State,Nicholas Sadorf,Jr.,,,,USA,"Palm Harbor, Fla.",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2027,Forward
Saint Leo,Sunshine State,Jesus Solorio,So.,,,,USA,"Woodstock, Ga.",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Midfielder
Saint Leo,Sunshine State,Robert Soto,So.,,,,USA,"Altamonte Springs, FL",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Defender
Saint Leo,Sunshine State,Abi Lindblom,So.,,,,USA,"Tampa, Fla.",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Midfielder
Saint Leo,Sunshine State,Matt Donascimento,So.,,,,USA,"Woburn, Mass.",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Forward
Saint Leo,Sunshine State,Jorge Perez Rosales,Fr.,,,,International,"Las Palmas de Gran Canaria, Spain",Spain,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2029,Midfielder
Saint Leo,Sunshine State,Isaac Garbia,So.,,,,International,"Hellerup, Denmark",Denmark,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2028,Midfielder
Saint Leo,Sunshine State,Feres Sahid,Jr.,,,,USA,"Tampa, Fla.",,,https://saintleolions.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 40%,2027,Midfielder
Saint Martin's,GNAC,Connor Leistiko,SO,,,,USA,"Kent, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Goalkeeper
Saint Martin's,GNAC,Cameron Kunz,SO,,,,USA,"Chehalis, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Defender
Saint Martin's,GNAC,Ethan Jud,SR,,,,USA,"Camas, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Saint Martin's,GNAC,Gabe Stuard,SO,,,,USA,"Olympia, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Defender
Saint Martin's,GNAC,Agustin Pernet,SO,,,,International,"Buenos Aires, Argentina",Argentina,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Midfielder
Saint Martin's,GNAC,Cameron Kreider,SO,,,,USA,"Liberty Lake, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Midfielder
Saint Martin's,GNAC,Sean Selanikio,SR,,,,USA,"SeaTac, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Defender
Saint Martin's,GNAC,Giovanni Gonzalez,JR,,,,USA,"Bellingham, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Midfielder
Saint Martin's,GNAC,Cole Kartchner,SR,,,,USA,"Sandy, UT",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Saint Martin's,GNAC,Angel Alvarado-Fajardo,SR,,,,USA,"Yakima, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Forward
Saint Martin's,GNAC,Paul Lopez,JR,,,,USA,"Duvall, Wash.",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2027,Forward
Saint Martin's,GNAC,Kai Pahl,SO,,,,USA,"Dededo, Guam",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Defender
Saint Martin's,GNAC,Jonathan Wright,FR,,,,USA,"Yakima, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Defender
Saint Martin's,GNAC,Xander Koenig,SO,,,,USA,"Bellingham, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Midfielder
Saint Martin's,GNAC,Dane Tschimperle,FR,,,,USA,"Renton, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Defender
Saint Martin's,GNAC,Erick Tornquist,SO,,,,USA,"Tacoma, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Defender
Saint Martin's,GNAC,Cole Sullivan,SO,,,,USA,"Ellensburg, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Forward
Saint Martin's,GNAC,Austin Riechelson,FR,,,,USA,"Bellevue, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Goalkeeper
Saint Martin's,GNAC,Luke Ellis,FR,,,,USA,"Port Orchard, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Forward
Saint Martin's,GNAC,Alexavier Meija,SO,,,,USA,"Tacoma, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Defender
Saint Martin's,GNAC,Judah Straight,FR,,,,USA,"Bellingham, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Defender
Saint Martin's,GNAC,Zack Martin,SR,,,,USA,"Olympia, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2026,Defender
Saint Martin's,GNAC,Lukas Wexler,FR,,,,USA,"Pullman, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Defender
Saint Martin's,GNAC,Michael Larsen,FR,,,,USA,"Palmer, Alaksa",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Goalkeeper
Saint Martin's,GNAC,Asher Sullivan,FR,,,,USA,"Bellingham, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Defender
Saint Martin's,GNAC,Calvin Boyal,FR,,,,USA,"Olympia, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Midfielder
Saint Martin's,GNAC,Ashaan Baker,FR,,,,USA,"Bellingham, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Goalkeeper
Saint Martin's,GNAC,Yale Morrow,FR,,,,USA,"Bellingham, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Midfielder
Saint Martin's,GNAC,Brandon Durr,FR,,,,USA,"Port Orchard, WA",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2029,Forward
Saint Martin's,GNAC,Ismail Mamadou,SO,,,,USA,"Portland, OR",,,https://smusaints.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 57%,2028,Midfielder
Saint Michael's,Northeast-10,Garrett Smith,Jr.,,,,USA,"Gorham, Maine",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Goalkeeper
Saint Michael's,Northeast-10,Brock O'Hearn,So.,,,,USA,"Waterford, Va.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Goalkeeper
Saint Michael's,Northeast-10,Max Koons,Jr.,,,,USA,"Standish, Maine",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Goalkeeper
Saint Michael's,Northeast-10,Alvaro Macias-Cazorla,So.,,,,International,"Las Palmas de Gran Canaria, Spain",Spain,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Defender
Saint Michael's,Northeast-10,Hayden McGovern,Jr.,,,,USA,"Eliot, Maine",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Defender
Saint Michael's,Northeast-10,Jacob Leone,Jr.,,,,USA,"Rochester, N.Y.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Defender
Saint Michael's,Northeast-10,Andres Rincon,Jr.,,,,USA,"Bradenton, Fla.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Midfielder
Saint Michael's,Northeast-10,Mikel Penin,Jr.,,,,International,"Bergara, Basque Country",Spain,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Midfielder
Saint Michael's,Northeast-10,Alessandro Pescina,Sr.,,,,International,"Puerto Ordaz, Venezuela",Venezuela,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2026,Midfielder
Saint Michael's,Northeast-10,Jack Andrews,Jr.,,,,USA,"Beverly, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Forward
Saint Michael's,Northeast-10,Xolo Miralles,Jr.,,,,International,"Vinaròs, Spain",Spain,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Midfielder
Saint Michael's,Northeast-10,Ryan Noci,Jr.,,,,USA,"Peabody, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Midfielder
Saint Michael's,Northeast-10,Muntasir Ahmed,Jr.,,,,USA,"Portland, Maine",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Forward
Saint Michael's,Northeast-10,Ronnie Riby-Williams,So.,,,,USA,"Montpelier, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Forward
Saint Michael's,Northeast-10,Drew Kull,Jr.,,,,USA,"Rochester, N.Y.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2027,Defender
Saint Michael's,Northeast-10,Topher O'Neil,So.,,,,USA,"Holliston, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Defender
Saint Michael's,Northeast-10,Jake Manley,Sr.,,,,USA,"Burlington, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2026,Forward
Saint Michael's,Northeast-10,Tyler Santaniello,Sr.,,,,USA,"Essex Junction, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2026,Defender
Saint Michael's,Northeast-10,Treyce Brannigan,So.,,,,USA,"Nantucket, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Midfielder
Saint Michael's,Northeast-10,Marshall Butler,So.,,,,USA,"Middletown, Conn.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Forward
Saint Michael's,Northeast-10,Panayiotis Kamberidis,So.,,,,USA,"Westwood, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Midfielder
Saint Michael's,Northeast-10,Chris Qirjazi,So.,,,,USA,"Salem, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Defender
Saint Michael's,Northeast-10,Sawyer Pierpont,Sr.,,,,USA,"Salisbury, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2026,Defender
Saint Michael's,Northeast-10,Amos Schramm,Sr.,,,,International,"Sagard, Mecklenburg-Pomerania, Germany",Germany,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2026,Midfielder
Saint Michael's,Northeast-10,Aliou Cisse,So.,,,,USA,"Ithaca, N.Y.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Midfielder
Saint Michael's,Northeast-10,Thomas Kamberidis,So.,,,,USA,"Westwood, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Defender
Saint Michael's,Northeast-10,Alex Mocarski,So.,,,,USA,"Stratford, Conn.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Defender
Saint Michael's,Northeast-10,Joey Manley,Fr.,,,,USA,"Burlington, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Forward
Saint Michael's,Northeast-10,Evan Richardson,So.,,,,USA,"South Burlington, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Midfielder
Saint Michael's,Northeast-10,Iago Lopez,Fr.,,,,USA,"Ithaca, N.Y.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Midfielder
Saint Michael's,Northeast-10,Michael Caruso,Fr.,,,,USA,"Norwalk, Conn.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Forward
Saint Michael's,Northeast-10,Bennett Clark,Fr.,,,,USA,"Calais, Vt.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Midfielder
Saint Michael's,Northeast-10,Shamus Flaherty,Fr.,,,,USA,"Peabody, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Defender
Saint Michael's,Northeast-10,Yihun Burnham,Fr.,,,,USA,"Middletown, Conn.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Defender
Saint Michael's,Northeast-10,Alex Lambrou,Fr.,,,,USA,"Ithaca, N.Y.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Defender
Saint Michael's,Northeast-10,Diego Aplicano,Fr.,,,,USA,"Chandler, Ariz.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Defender
Saint Michael's,Northeast-10,Del DiBona,Fr.,,,,USA,"Cohasset, Mass.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Defender
Saint Michael's,Northeast-10,Rodrigo Salamanca Lopez,Fr.,,,,International,"Madrid, Spain",Spain,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Midfielder
Saint Michael's,Northeast-10,Ian Boudreau,Sr.,,,,USA,"Simsbury, Conn.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2026,Goalkeeper
Saint Michael's,Northeast-10,Gabriel Tillmon-Guerth,Fr.,,,,USA,"Goldens Bridge, N.Y.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2029,Midfielder
Saint Michael's,Northeast-10,Ian Uecker,So.,,,,USA,"Ridgefield, Conn.",,,https://smcathletics.com/sports/msoc/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 68%,2028,Goalkeeper
Salem,SAC,Josh Hills,Jr.,,,,International,"Maidenhead, England",United Kingdom,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Goalkeeper
Salem,SAC,Dylan Vaughn,Jr.,,,,USA,"Harstelle, Alabama",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Defender
Salem,SAC,Valentin Fritz,So.,,,,International,"Rafaela, Santa Fe, Argentina",Argentina,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2028,Defender
Salem,SAC,Ahmad Hijaz,Jr.,,,,USA,"Valrico, Florida",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Defender
Salem,SAC,Nathan Sealy,Jr.,,,,International,"Bridgetown, Barbados",Barbados,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Defender
Salem,SAC,Felipe Gonzalez Maldonado,Jr.,,,,International,"Bogota, Colombia",Colombia,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Midfielder
Salem,SAC,Josue Villegas,Fr.,,,,International,"Monterrey de San Carlos, Costa Rica",Costa Rica,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Aldair Cardenas Villamizar,Jr.,,,,International,"Santander, Colombia",Colombia,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Forward
Salem,SAC,Ricardo Gallego Curto,So.,,,,International,"Salamanca, Spain",Spain,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2028,Midfielder
Salem,SAC,Mauricio Aguilar Renovales,Gr.,,,,International,"Leon, Mexico",Mexico,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2025,Midfielder
Salem,SAC,Max Cavanagh,Fr.,,,,International,"Nottingham, England",United Kingdom,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Samuel Acatrinei,Jr.,,,,International,"Toronto, Ontario, Canada",Canada,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Midfielder
Salem,SAC,Nicholas Vieyra,So.,,,,USA,"Ceres, California",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2028,Defender
Salem,SAC,Giancarlo Pardo,Jr.,,,,USA,"League City, Texas",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Defender
Salem,SAC,Juan Santiago Garcia Caballero,So.,,,,International,"Villavicencio, Colombia",Colombia,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2028,Defender
Salem,SAC,Copper West,Fr.,,,,USA,"Carrollton, Texas",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Andres Valencia Tapia,Fr.,,,,International,"Morelia Muchoacan, Mexico",Mexico,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Defender
Salem,SAC,Arthur Tavares Taranto,Fr.,,,,International,"Salvador, Brazil",Brazil,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Defender
Salem,SAC,Max Peverall,Fr.,,,,International,"Newcastle, England",United Kingdom,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Abdul Kabbany,So.,,,,International,"Freetown, Sierra Leone",Sierra Leone,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2028,Midfielder
Salem,SAC,Ricardo Ruiz,Fr.,,,,USA,"Gardner, Massachusets",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Javier Figueroa,Jr.,,,,USA,"Oak Park, Illinois",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2027,Midfielder
Salem,SAC,Isaac Luquin,Sr.,,,,USA,"Roy, Utah",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2026,Midfielder
Salem,SAC,Carter Block,Fr.,,,,USA,"Monticello, Minnesota",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Nicolas Del Gaudio,Fr.,,,,USA,"Miami, Florida",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Forward
Salem,SAC,Charles Anderson,Fr.,,,,USA,"Houston, Texas",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Erwin Navarro,Fr.,,,,USA,"Fort Myers, Florida",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Forward
Salem,SAC,Henry Gipson,Fr.,,,,USA,"Batavia, Ohio",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Tommy Sowinski,Fr.,,,,USA,"Gretna, Nebraska",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Midfielder
Salem,SAC,Jason Barrientos,Fr.,,,,USA,"Kissimmee, Florida",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Goalkeeper
Salem,SAC,Selleck Burggraf,Fr.,,,,USA,"Monroe, Ohio",,,https://salemtigers.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 81%,2029,Goalkeeper
San Francisco State,CCAA,Mario De La Torre,Sr.,,,,USA,"Long Beach, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Goalkeeper
San Francisco State,CCAA,Isaac Sandoval,Sr.,,,,USA,"Herald, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Forward
San Francisco State,CCAA,Johan Duenas,Sr.,,,,USA,"Downey, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Defender
San Francisco State,CCAA,Adrian Vasquez,Sr.,,,,USA,San Francisco,,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Defender
San Francisco State,CCAA,Jason Guzman,So.,,,,USA,"Santa Maria, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2028,Midfielder
San Francisco State,CCAA,Pablo Salazar,Jr.,,,,USA,"La Puente, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2027,Midfielder
San Francisco State,CCAA,Georgi Stoyanov,Sr.,,,,International,"Vidin, Bulgaria",Bulgaria,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Midfielder
San Francisco State,CCAA,Aidan Olufson,Jr.,,,,USA,"Rancho Cucamonga, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2027,Midfielder
San Francisco State,CCAA,Diego Barcelos,So.,,,,International,"Uberlândia, Brazil",Brazil,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2028,Forward
San Francisco State,CCAA,Nathan Garcia,Sr.,,,,USA,"Downey, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Midfielder
San Francisco State,CCAA,Michael Rodriguez,Jr.,,,,USA,Los Angeles,,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2027,Midfielder
San Francisco State,CCAA,Angel Herrera,Sr.,,,,USA,"Oxnard, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2026,Forward
San Francisco State,CCAA,Ethan Jimenez Flamenco,Fr.,,,,USA,San Francisco,,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2029,Forward
San Francisco State,CCAA,Marco Valdez,Jr.,,,,USA,"Elk Grove, Calif.",,,https://sfstategators.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 93%,2027,Defender
